Name,Display Name,Description,Type,Required,Choices,Units,Default Value
hpxml_path,HPXML File Path,Absolute/relative path of the HPXML file.,String,true,,,
existing_hpxml_path,Existing HPXML File Path,"Absolute/relative path of the existing HPXML file. If not provided, a new HPXML file with one Building element is created. If provided, a new Building element will be appended to this HPXML file (e.g., to create a multifamily HPXML file describing multiple dwelling units).",String,false,,,
whole_sfa_or_mf_building_sim,Whole SFA/MF Building Simulation?,"If the HPXML file represents a single family-attached/multifamily building with multiple dwelling units defined, specifies whether to run the HPXML file as a single whole building model.",Boolean,false,"['true', 'false']",,
software_info_program_used,Software Info: Program Used,The name of the software program used.,String,false,,,
software_info_program_version,Software Info: Program Version,The version of the software program used.,String,false,,,
schedules_filepaths,Schedules: CSV File Paths,"Absolute/relative paths of csv files containing user-specified detailed schedules. If multiple files, use a comma-separated list.",String,false,,,
schedules_unavailable_period_types,Schedules: Unavailable Period Types,"Specifies the unavailable period types. Possible types are column names defined in unavailable_periods.csv: Vacancy, Power Outage, No Space Heating, No Space Cooling. If multiple periods, use a comma-separated list.",String,false,,,
schedules_unavailable_period_dates,Schedules: Unavailable Period Dates,"Specifies the unavailable period date ranges. Enter a date range like ""Dec 15 - Jan 15"". Optionally, can enter hour of the day like ""Dec 15 2 - Jan 15 20"" (start hour can be 0 through 23 and end hour can be 1 through 24). If multiple periods, use a comma-separated list.",String,false,,,
schedules_unavailable_period_window_natvent_availabilities,Schedules: Unavailable Period Window Natural Ventilation Availabilities,"The availability of the natural ventilation schedule during unavailable periods. Valid choices are: regular schedule, always available, always unavailable. If multiple periods, use a comma-separated list. If not provided, the OS-HPXML default (see <a href='https://openstudio-hpxml.readthedocs.io/en/v1.10.0/workflow_inputs.html#hpxml-unavailable-periods'>HPXML Unavailable Periods</a>) is used.",String,false,,,
simulation_control_timestep,Simulation Control: Timestep,"Value must be a divisor of 60. If not provided, the OS-HPXML default (see <a href='https://openstudio-hpxml.readthedocs.io/en/v1.10.0/workflow_inputs.html#hpxml-simulation-control'>HPXML Simulation Control</a>) is used.",Integer,false,,min,
simulation_control_run_period,Simulation Control: Run Period,"Enter a date range like 'Jan 1 - Dec 31'. If not provided, the OS-HPXML default (see <a href='https://openstudio-hpxml.readthedocs.io/en/v1.10.0/workflow_inputs.html#hpxml-simulation-control'>HPXML Simulation Control</a>) is used.",String,false,,,
simulation_control_run_period_calendar_year,Simulation Control: Run Period Calendar Year,"This numeric field should contain the calendar year that determines the start day of week. If you are running simulations using AMY weather files, the value entered for calendar year will not be used; it will be overridden by the actual year found in the AMY weather file. If not provided, the OS-HPXML default (see <a href='https://openstudio-hpxml.readthedocs.io/en/v1.10.0/workflow_inputs.html#hpxml-simulation-control'>HPXML Simulation Control</a>) is used.",Integer,false,,year,
simulation_control_daylight_saving_enabled,Simulation Control: Daylight Saving Enabled,"Whether to use daylight saving. If not provided, the OS-HPXML default (see <a href='https://openstudio-hpxml.readthedocs.io/en/v1.10.0/workflow_inputs.html#hpxml-building-site'>HPXML Building Site</a>) is used.",Boolean,false,"['true', 'false']",,
simulation_control_daylight_saving_period,Simulation Control: Daylight Saving Period,"Enter a date range like 'Mar 15 - Dec 15'. If not provided, the OS-HPXML default (see <a href='https://openstudio-hpxml.readthedocs.io/en/v1.10.0/workflow_inputs.html#hpxml-building-site'>HPXML Building Site</a>) is used.",String,false,,,
simulation_control_temperature_capacitance_multiplier,Simulation Control: Temperature Capacitance Multiplier,"Affects the transient calculation of indoor air temperatures. If not provided, the OS-HPXML default (see <a href='https://openstudio-hpxml.readthedocs.io/en/v1.10.0/workflow_inputs.html#hpxml-simulation-control'>HPXML Simulation Control</a>) is used.",Double,false,,,
simulation_control_defrost_model_type,Simulation Control: Defrost Model Type,"Research feature to select the type of defrost model. Use standard for default E+ defrost setting. Use advanced for an improved model that better accounts for load and energy use during defrost; using advanced may impact simulation runtime. If not provided, the OS-HPXML default (see <a href='https://openstudio-hpxml.readthedocs.io/en/v1.10.0/workflow_inputs.html#hpxml-simulation-control'>HPXML Simulation Control</a>) is used.",Choice,false,"['standard', 'advanced']",,
simulation_control_ground_to_air_heat_pump_model_type,Simulation Control: Ground-to-Air Heat Pump Model Type,"Research feature to select the type of ground-to-air heat pump model. Use standard for standard ground-to-air heat pump modeling. Use experimental for an improved model that better accounts for coil staging. If not provided, the OS-HPXML default (see <a href='https://openstudio-hpxml.readthedocs.io/en/v1.10.0/workflow_inputs.html#hpxml-simulation-control'>HPXML Simulation Control</a>) is used.",Choice,false,"['standard', 'experimental']",,
simulation_control_onoff_thermostat_deadband,Simulation Control: HVAC On-Off Thermostat Deadband,"Research feature to model on-off thermostat deadband and start-up degradation for single or two speed AC/ASHP systems, and realistic time-based staging for two speed AC/ASHP systems. Currently only supported with 1 min timestep.",Double,false,,deg-F,
simulation_control_heat_pump_backup_heating_capacity_increment,Simulation Control: Heat Pump Backup Heating Capacity Increment,Research feature to model capacity increment of multi-stage heat pump backup systems with time-based staging. Only applies to air-source heat pumps where Backup Type is 'integrated' and Backup Fuel Type is 'electricity'. Currently only supported with 1 min timestep.,Double,false,,Btu/hr,
site_type,Site: Type,"The type of site. If not provided, the OS-HPXML default (see <a href='https://openstudio-hpxml.readthedocs.io/en/v1.10.0/workflow_inputs.html#hpxml-site'>HPXML Site</a>) is used.",Choice,false,"['suburban', 'urban', 'rural']",,
site_shielding_of_home,Site: Shielding of Home,"Presence of nearby buildings, trees, obstructions for infiltration model. If not provided, the OS-HPXML default (see <a href='https://openstudio-hpxml.readthedocs.io/en/v1.10.0/workflow_inputs.html#hpxml-site'>HPXML Site</a>) is used.",Choice,false,"['exposed', 'normal', 'well-shielded']",,
site_soil_and_moisture_type,Site: Soil and Moisture Type,"Type of soil and moisture. This is used to inform ground conductivity and diffusivity. If not provided, the OS-HPXML default (see <a href='https://openstudio-hpxml.readthedocs.io/en/v1.10.0/workflow_inputs.html#hpxml-site'>HPXML Site</a>) is used.",Choice,false,"['clay, dry', 'clay, mixed', 'clay, wet', 'gravel, dry', 'gravel, mixed', 'gravel, wet', 'loam, dry', 'loam, mixed', 'loam, wet', 'sand, dry', 'sand, mixed', 'sand, wet', 'silt, dry', 'silt, mixed', 'silt, wet', 'unknown, dry', 'unknown, mixed', 'unknown, wet']",,
site_ground_conductivity,Site: Ground Conductivity,"Conductivity of the ground soil. If provided, overrides the previous site and moisture type input.",Double,false,,Btu/hr-ft-F,
site_ground_diffusivity,Site: Ground Diffusivity,"Diffusivity of the ground soil. If provided, overrides the previous site and moisture type input.",Double,false,,ft^2/hr,
site_iecc_zone,Site: IECC Zone,IECC zone of the home address.,Choice,false,"['1A', '1B', '1C', '2A', '2B', '2C', '3A', '3B', '3C', '4A', '4B', '4C', '5A', '5B', '5C', '6A', '6B', '6C', '7', '8']",,
site_city,Site: City,City/municipality of the home address.,String,false,,,
site_state_code,Site: State Code,"State code of the home address. If not provided, the OS-HPXML default (see <a href='https://openstudio-hpxml.readthedocs.io/en/v1.10.0/workflow_inputs.html#hpxml-site'>HPXML Site</a>) is used.",Choice,false,"['AK', 'AL', 'AR', 'AZ', 'CA', 'CO', 'CT', 'DC', 'DE', 'FL', 'GA', 'HI', 'IA', 'ID', 'IL', 'IN', 'KS', 'KY', 'LA', 'MA', 'MD', 'ME', 'MI', 'MN', 'MO', 'MS', 'MT', 'NC', 'ND', 'NE', 'NH', 'NJ', 'NM', 'NV', 'NY', 'OH', 'OK', 'OR', 'PA', 'RI', 'SC', 'SD', 'TN', 'TX', 'UT', 'VA', 'VT', 'WA', 'WI', 'WV', 'WY']",,
site_zip_code,Site: Zip Code,Zip code of the home address. Either this or the Weather Station: EnergyPlus Weather (EPW) Filepath input below must be provided.,String,false,,,
site_time_zone_utc_offset,Site: Time Zone UTC Offset,"Time zone UTC offset of the home address. Must be between -12 and 14. If not provided, the OS-HPXML default (see <a href='https://openstudio-hpxml.readthedocs.io/en/v1.10.0/workflow_inputs.html#hpxml-site'>HPXML Site</a>) is used.",Double,false,,hr,
site_elevation,Site: Elevation,"Elevation of the home address. If not provided, the OS-HPXML default (see <a href='https://openstudio-hpxml.readthedocs.io/en/v1.10.0/workflow_inputs.html#hpxml-site'>HPXML Site</a>) is used.",Double,false,,ft,
site_latitude,Site: Latitude,"Latitude of the home address. Must be between -90 and 90. Use negative values for southern hemisphere. If not provided, the OS-HPXML default (see <a href='https://openstudio-hpxml.readthedocs.io/en/v1.10.0/workflow_inputs.html#hpxml-site'>HPXML Site</a>) is used.",Double,false,,deg,
